1,A
2,A
3,R
4,A
5,R
6,R
7,A
8,A
9,A
10,R
11,SR
12,A
13,A
14,R
15,SSR
16,R
17,R
18,A
19,A
20,A
21,SR
22,SR
23,SSR
24,A
25,A
26,A
27,R
28,A
29,A
30,A
31,A
32,A
33,A
34,A
35,A
36,R
37,A
38,A
39,A
40,R
41,A
42,A
43,A
44,R
45,R
46,A
47,A
48,A
49,A
50,R
51,A
52,A
53,A
54,SR
55,A
56,A
57,R
58,A
59,R
60,R
61,A
62,A
63,R
64,A
65,R
66,A
67,R
68,A
69,R
70,A
71,R
72,A
73,A
74,A
75,A
76,A
77,R
78,SR
79,SR
80,A
81,R
82,R
83,R
84,R
85,R
86,SR
87,SR
88,A
89,SR
90,SR
91,R
92,R
93,R
94,R
95,R
96,SR
97,SR
98,R
99,A
100,R
101,A
102,A
103,A
104,A
105,A
106,A
107,A
108,A
109,A
110,A
111,A
112,A
113,R
114,A
115,R
116,R
117,R
118,SR
119,R
120,A
121,A
122,A
123,SR
124,A
125,A
126,A
127,A
128,A
129,A
130,A
131,A
132,A
133,A
134,R
135,SR
136,R
137,A
138,A
139,A
140,A
141,R
142,A
143,R
144,R
145,R
146,SR
147,R
148,SR
149,R
150,SR
151,A
152,SR
153,SR
154,A
155,A
156,A
157,A
158,SR
159,A
160,R
161,R
162,SR
163,R
164,SR
165,R
166,R
167,R
168,R
169,R
170,R
171,A
172,A
173,A
174,A
175,R
176,A
177,R
178,R
179,R
180,R
181,R
182,R
183,SR
184,SR
185,SR
186,A
187,A
188,R
189,R
190,A
191,A
192,R
193,R
194,SR
195,R
196,R
197,R
198,SR
199,R
200,R
201,R
202,SR
203,SR
204,SR
205,R
206,SR
207,R
208,SR
209,R
210,R
211,A
212,R
213,A
214,A
215,A
216,SR
217,A
218,A
219,R
220,A
221,R
222,A
223,R
224,SR
225,R
226,R
227,R
228,R
229,R
230,R
231,R
232,SR
233,R
234,R
235,R
236,R
237,R
238,R
239,R
240,R
241,R
242,R
243,SR
244,R
245,SR
246,SR
247,R
248,R
249,R
250,R
251,SR
252,R
253,R
254,R
255,R
256,R
257,R
258,A
259,A
260,R
261,A
262,A
263,R
264,A
265,A
266,A
267,A
268,R
269,A
270,A
271,A
272,A
273,A
274,A
275,A
276,R
277,A
278,A
279,A
280,A
281,R
282,R
283,R
284,SR
285,A
286,R
287,R
288,SR
289,SR
290,SR
291,A
292,A
293,SR
294,A
295,A
296,A
297,R
298,A
299,A
300,A
301,A
302,SR
303,R
304,R
305,SR
306,R
307,SR
308,A
309,A
310,A
311,R
312,R
313,R
314,R
315,R
316,R
317,SR
318,SR
319,R
320,R
321,R
322,R
323,SR
324,R
325,R
326,SR
327,R
328,R
329,R
330,SR
331,R
332,SSR
333,R
334,R
335,R
336,SR
337,SR
338,A
339,A
340,SR
341,R
342,R
343,R
344,R
345,A
346,R
347,R
348,SR
349,A
350,SR
351,A
352,R
353,SR
354,SR
355,R
356,SR
357,R
358,R
359,SR
360,R
361,R
362,SSR
363,SR
364,SR
365,SR
366,R
367,SR
368,A
369,A
370,A
371,A
372,SR
373,R
374,R
375,R
376,R
377,R
378,SR
379,R
380,R
381,R
382,R
383,A
384,R
385,A
386,R
387,R
388,A
389,SSR
390,A
391,A
392,A
393,A
394,A
395,R
396,R
397,A
398,A
399,A
400,R
401,A
402,A
403,A
404,A
405,SR
406,R
407,R
408,A
409,R
410,A
411,A
412,A
413,SR
414,A
415,SR
416,A
417,A
418,SR
419,A
420,R
421,R
422,R
423,R
424,A
425,A
426,R
427,A
428,A
429,A
430,A
431,SR
432,SR
433,R
434,SR
435,A
436,R
437,SR
438,R
439,A
440,A
441,A
442,A
443,A
444,R
445,SR
446,SR
447,R
448,SR
449,R
450,A
451,A
452,R
453,R
454,R
455,R
456,A
457,A
458,R
459,A
460,A
461,SR
462,A
463,R
464,R
465,SR
466,SR
467,R
468,R
469,A
470,R
471,A
472,A
473,A
474,SR
475,SR
476,SR
477,R
478,R
479,SR
480,R
481,R
482,R
483,R
484,A
485,A
486,A
487,SR
488,R
489,SR
490,R
491,A
492,A
493,A
494,R
495,A
496,R
497,R
498,R
499,R
500,R
501,R
502,A
503,R
504,A
505,A
506,R
507,R
508,R
509,A
510,A
511,A
512,A
513,R
514,R
515,R
516,SR
517,SR
518,R
519,R
520,SR
521,R
522,SR
523,R
524,R
525,R
526,R
527,R
528,R
529,R
530,R
531,R
532,R
533,A
534,A
535,A
536,A
537,A
538,A
539,A
540,A
541,A
542,R
543,A
544,R
545,R
546,SR
547,SR
548,R
549,SR
550,R
551,R
552,R
553,A
554,R
555,SR
556,R
557,R
558,R
559,SR
560,R
561,R
562,R
563,R
564,R
565,R
566,R
567,R
568,R
569,SR
570,R
571,SR
572,R
573,SR
574,R
575,SR
576,R
577,SR
578,R
579,R
580,R
581,R
582,R
583,R
584,R
585,SR
586,R
587,R
588,R
589,R
590,SR
591,R
592,SR
593,R
594,SR
595,R
596,SR
597,R
598,SR
599,R
600,A
601,R
602,SR
603,R
604,R
605,SR
606,R
607,SR
608,R
609,SR
610,R
611,A
612,R
613,A
614,R
615,SR
616,R
617,SR
618,R
619,SR
620,R
621,R
622,SR
623,R
624,R
625,R
626,R
627,R
628,R
629,A
630,R
631,A
632,A
633,A
634,R
635,A
636,A
637,A
638,A
639,A
640,A
641,A
642,A
643,A
644,A
645,A
646,R
647,A
648,A
649,R
650,R
651,R
652,R
653,R
654,R
655,R
656,A
657,A
658,R
659,SR
660,R
661,A
662,R
663,R
664,R
665,SR
666,A
667,R
668,SR
669,A
670,A
671,A
672,A
673,A
674,A
675,A
676,A
677,A
678,A
679,R
680,SR
681,SR
682,R
683,SR
684,R
685,SR
686,SR
687,R
688,SR
689,SR
690,A
691,A
692,A
693,A
694,A
695,A
696,A
697,R
698,SR
699,A
700,R
701,A
702,A
703,A
704,A
705,A
706,SSR
707,A
708,A
709,R
710,A
711,R
712,A
713,A
714,A
715,A
716,A
717,SR
718,A
719,A
720,SR
721,SR
722,R
723,R
724,A
725,A
726,A
727,R
728,A
729,SR
730,A
731,SR
732,SR
733,A
734,A
735,A
736,A
737,A
738,A
739,A
740,A
741,R
742,R
743,R
744,R
745,SR
746,R
747,R
748,R
749,R
750,R
751,R
752,R
753,R
754,R
755,R
756,SR
757,SR
758,A
759,R
760,SR
761,A
762,R
763,A
764,A
765,A
766,A
767,SR
768,A
769,A
770,R
771,R
772,A
773,SR
774,A
775,R
776,A
777,A
778,A
779,A
780,R
781,A
782,R
783,A
784,A
785,A
786,A
787,R
788,R
789,R
790,A
791,R
792,A
793,A
794,R
795,A
796,R
797,A
798,A
799,R
800,R
801,R
802,SR
803,SR
804,R
805,R
806,SR
807,A
808,A
809,A
810,A
811,A
812,A
813,A
814,R
815,R
816,A
817,A
818,A
819,SR
820,A
821,A
822,A
823,A
824,A
825,A
826,A
827,A
828,A
829,A
830,A
831,A
832,A
833,A
834,SR
835,A
836,R
837,R
838,A
839,R
840,A
841,SR
842,A
843,A
844,R
845,R
846,A
847,R
848,A
849,A
850,A
851,R
852,A
853,A
854,A
855,R
856,A
857,R
858,A
859,A
860,SR
861,A
862,A
863,A
864,A
865,A
866,A
867,A
868,R
869,A
870,A
871,R
872,SR
873,R
874,A
875,R
876,A
877,SR
878,A
879,A
880,A
881,A
882,A
883,SR
884,R
885,R
886,R
887,SR
888,A
889,R
890,A
891,R
892,R
893,A
894,A
895,A
896,A
897,A
898,A
899,A
900,A
901,R
902,A
903,A
904,A
905,A
906,A
907,A
908,A
909,A
910,A
911,A
912,R
913,A
914,A
915,A
916,A
917,A
918,A
919,R
920,A
921,A
922,SR
923,A
924,A
925,R
926,R
927,A
928,A
929,R
930,A
931,A
932,R
933,R
934,R
935,A
936,R
937,A
938,A
939,R
940,SR
941,A
942,A
943,A
944,R
945,A
946,R
947,A
948,A
949,A
950,A
951,A
952,A
953,A
954,A
955,A
956,R
957,R
958,R
959,SR
960,R
961,R
962,R
963,R
964,R
965,R
966,R
967,SR
968,R
969,R
970,A
971,SR
972,A
973,R
974,A
975,SSR
